name,price,category
uber eats,25.00,restaurant
trattoria nervosa, 112.50,restaurant
bar chef, 160.00,restaurant
McDonald's,9.49,restaurant
mcdonalds,36.42,restaurant
Subway,11.25,restaurant
Subway,5.84,restaurant
Subway,49.92,restaurant
Subway,16.2,restaurant
Subway,23.5,restaurant
Starbucks,7.15,restaurant
Tim Hortons,6.80,restaurant
Wendy's,10.99,restaurant
Burger King,9.75,restaurant
Chipotle Mexican Grill,13.50,restaurant
Popeyes Louisiana Kitchen,12.30,restaurant
A&W,10.25,restaurant
Taco Bell,8.45,restaurant
KFC,11.90,restaurant
Pizza Pizza,18.00,restaurant
Domino's Pizza,23.00,restaurant
Panera Bread,14.60,restaurant
Harvey's,10.20,restaurant
Five Guys,17.75,restaurant
Booster Juice,8.10,restaurant
Jimmy the Greek,13.40,restaurant
Mucho Burrito,14.25,restaurant
Jollibee,12.60,restaurant
Chick-fil-A,11.45,restaurant
The Keg Steakhouse,125.00,restaurant
Earls Kitchen + Bar,65.00,restaurant
Cactus Club Cafe,70.00,restaurant
Joey Restaurants,68.50,restaurant
Milestones Grill + Bar,60.00,restaurant
Swiss Chalet,45.00,restaurant
Montana's BBQ & Bar,55.25,restaurant
Boston Pizza,48.00,restaurant
Moxies,58.00,restaurant
Jack Astor's Bar & Grill,53.75,restaurant
Hero Certified Burgers,14.90,restaurant
Banh Mi Boys,10.10,restaurant
Sweet Jesus,7.50,restaurant
Freshii,12.30,restaurant
Kinton Ramen,16.00,restaurant
Sansotei Ramen,15.50,restaurant
Pho Hung,14.40,restaurant
Denny's,18.20,restaurant
IHOP,19.00,restaurant
Eggsmart,17.85,restaurant
Sunset Grill,20.10,restaurant
Paramount Fine Foods,24.00,restaurant
Lazeez Shawarma,13.75,restaurant
Shawarma Palace,14.10,restaurant
Me Va Me,21.00,restaurant
Kelseys Original Roadhouse,49.00,restaurant
St. Louis Bar & Grill,46.00,restaurant
The Pickle Barrel,52.00,restaurant
The Cheesecake Factory,68.00,restaurant
Red Lobster,85.00,restaurant
Olive Garden,60.00,restaurant
Ruth's Chris Steak House,210.00,restaurant
Scaddabush,59.00,restaurant
The Captain's Boil,75.00,restaurant
Osmow's,14.60,restaurant
Union Chicken,22.00,restaurant
Rolltation Sushi Burrito,13.80,restaurant
Basil Box,12.90,restaurant
Kibo Sushi House,25.00,restaurant
Sushi Garden,26.00,restaurant
Sakura Sushi,24.50,restaurant
The Sushi Bar,30.00,restaurant
Sushi Inn,28.00,restaurant
Sushi Kaji,180.00,restaurant
Yasu Toronto,220.00,restaurant
Miku Toronto,170.00,restaurant
JaBistro,150.00,restaurant
Pai Northern Thai Kitchen,55.00,restaurant
Khao San Road,50.00,restaurant
Salad King,22.00,restaurant
Fresh Restaurants,19.00,restaurant
Kupfert & Kim,18.00,restaurant
The WORKS Gourmet Burger Bistro,21.00,restaurant
Fat Bastard Burrito Co.,14.00,restaurant
Smoke's Poutinerie,11.50,restaurant
Poutineville,15.00,restaurant
El Furniture Warehouse,19.00,restaurant
Bovine Sex Club,16.00,restaurant
Sneaky Dee's,23.00,restaurant
Steam Whistle Biergärten,40.00,restaurant
Amsterdam BrewHouse,48.00,restaurant
Bellwoods Brewery,45.00,restaurant
In-N-Out Burger,8.75,restaurant
Shake Shack,12.60,restaurant
Raising Cane's,10.45,restaurant
Wingstop,14.90,restaurant
White Castle,7.80,restaurant
Waffle House,12.00,restaurant
Cracker Barrel,16.50,restaurant
Whataburger,9.80,restaurant
Del Taco,9.25,restaurant
Zaxby's,11.75,restaurant
Culver's,10.95,restaurant
Checkers & Rally's,8.60,restaurant
Church's Texas Chicken,10.75,restaurant
Sonny's BBQ,22.00,restaurant
Golden Corral,21.00,restaurant
California Pizza Kitchen,38.00,restaurant
Bubba Gump Shrimp Co.,58.00,restaurant
Cheddar's Scratch Kitchen,32.00,restaurant
The Melting Pot,120.00,restaurant
P.F. Chang's,65.00,restaurant
Pei Wei Asian Diner,18.00,restaurant
Benihana,100.00,restaurant
Kura Revolving Sushi Bar,30.00,restaurant
Sapporo Sushi & Ramen,28.00,restaurant
Din Tai Fung,55.00,restaurant
Yang Chow Restaurant,40.00,restaurant
Panda Express,12.30,restaurant
L&L Hawaiian Barbecue,15.50,restaurant
El Pollo Loco,13.00,restaurant
Taco Cabana,11.00,restaurant
Cafe Rio,14.00,restaurant
Moe's Southwest Grill,13.50,restaurant
Carrabba's Italian Grill,44.00,restaurant
Maggiano's Little Italy,58.00,restaurant
Buca di Beppo,75.00,restaurant
Macaroni Grill,42.00,restaurant
Lucille's Smokehouse BBQ,52.00,restaurant
Texas Roadhouse,60.00,restaurant
Bonefish Grill,66.00,restaurant
BJ's Restaurant & Brewhouse,54.00,restaurant
Yard House,58.00,restaurant
Seasons 52,65.00,restaurant
Fogo de Chão,110.00,restaurant
Morton's The Steakhouse,230.00,restaurant
